Prompt,Essay
Open topic.,"Fedora? Check. Apron? Check. Tires pumped? Check. Biking the thirty-five minutes each evening to the cafe and back to work a six-hour shift was exhausting, but my family’s encouragement and gratitude for the extra income was worth it. A few years earlier, my family of nine had been evicted from the home we had been living in for the past ten years. With nowhere else to go, we moved into our church’s back room for three months, where I shamefully tried to hide our toothbrushes and extra shoes from other church members. Right then I made a commitment to my family to contribute financially in whatever way I could. My sacrifice translated to a closer bond with my siblings and deeper conversations with my parents, helping me understand the true meaning of a unified family and the valuable part I play in that. With the financial stability that my part-time jobs provided my mother could stay home to raise seven children, my learning-disabled older sister could attend college, my younger sister could go on a mission trip to Korea, and my twin siblings could compete in national math competitions. I’ve seen that even as a high school student, I have so much potential to impact my family and beyond -- how one small act can go a long way. Through the successes of my efforts, I also realized that poverty was just a societal limitation. I was low-income, not poor. I was still flourishing in school, leading faith-based activities and taking an active role in community service. My low-income status was not a barrier but a launching pad to motivate and propel my success. To additionally earn more money as a young teen, I began flipping bicycles for profit on craigslist. Small adjustments in the brake and gears, plus a wash, could be the difference between a $50 piece of trash and a $200 steal. Seeing how a single inch could disarrange the lining of gears not only taught me the importance of detail but also sparked my fascination with fixing things. When I was sixteen I moved on to a larger project: my clunker of a car. I had purchased my 2002 Elantra with my own savings, but it was long past its prime. With some instruction from a mechanic, I began to learn the components of an engine motor and the engineering behind it. I repaired my brake light, replaced my battery, and made adjustments to the power-steering hose. Engineering was no longer just a nerdy pursuit of robotics kids; it was a medium to a solution. It could be a way to a career, doing the things I love. I was inspired to learn more. Last summer, to continue exploring my interest in engineering, I interned at Boeing. Although I spent long hours researching and working in the lab for the inertial navigation of submarines, I learned most from the little things. From the way my mentors and I began working two hours earlier than required to meet deadlines, I learned that engineering is the commitment of long hours. From the respect and humility embodied within our team, I learned the value of unity at the workplace. Like my own family at home, our unity and communal commitment to working led to excellent results for everyone and a closer connection within the group. What most intrigues me about engineering is not just the math or the technology, but the practical application. It is through engineering that I can fix up my car... and facilitate submarine navigation. Engineering, in fact, is a lifestyle -- instead of lingering over hardships, I work to solve them and learn from them. Whether the challenge is naval defense or family finances or even just a flat tire on my bike before another night shift, I will be solving these problems and will always be looking to keep rolling on. Success is triumphing over hardships -- willing yourself over anything and everything to achieve the best for yourself and your family. With this scholarship, I will use it to continue focusing on my studies in math and engineering, instead of worrying about making money and sending more back home. It will be an investment into myself for my family."
Explain something that made a big impact in your life.,"“If you can’t live off of it, it is useless.” My parents were talking about ice skating: my passion. I started skating as a ten-year-old in Spain, admiring how difficulty and grace intertwine to create beautiful programs, but no one imagined I would still be on the ice seven years and one country later. Even more unimaginable was the thought that ice skating might become one of the most useful parts of my life. I was born in Mexico to two Spanish speakers; thus, Spanish was my first language. We then moved to Spain when I was six, before finally arriving in California around my thirteenth birthday. Each change introduced countless challenges, but the hardest part of moving to America, for me, was learning English. Laminated index cards, color-coded and full of vocabulary, became part of my daily life. As someone who loves to engage in a conversation, it was very hard to feel as if my tongue was cut off. Only at the ice rink could I be myself; the feeling of the cold rink breeze embracing me, the ripping sound of blades touching the ice, even the occasional ice burning my skin as I fell—these were my few constants. I did not need to worry about mispronouncing “axel” as “aksal.” Rather, I just needed to glide and deliver the jump. From its good-natured bruise-counting competitions to its culture of hard work and perseverance, ice skating provided the nurturing environment that made my other challenges worthwhile. Knowing that each moment on the ice represented a financial sacrifice for my family, I cherished every second I got. Often this meant waking up every morning at 4 a.m. to practice what I had learned in my few precious minutes of coaching. It meant assisting in group lessons to earn extra skating time and taking my conditioning off-ice by joining my high school varsity running teams. Even as I began to make friends and lose my fear of speaking, the rink was my sanctuary. Eventually, however, the only way to keep improving was to pay for more coaching, which my family could not afford. And so I started tutoring Spanish. Now, the biggest passion of my life is supported by my most natural ability. I have had over thirty Spanish students, ranging in age from three to forty and spanning many ethnic backgrounds. I currently work with fifteen students each week, each with different needs and ways of learning. Drawing on my own experiences as both a second language-learner and a figure skater, I assign personal, interactive exercises, make jokes to keep my students’ mindset positive, and never give away right answers. When I first started learning my axel jump, my coach told me I would have to fall at least 500 times (about a year of falls!) in order to land it. Likewise, I have my students embrace every detail of a mistake until they can begin to recognize new errors when they see them. I encourage them to expand their horizons and take pride in preparing them for new interactions and opportunities. Although I agree that I will never live off of ice skating, the education and skills I have gained from it have opened countless doors. Ice skating has given me the resilience, work ethic, and inspiration to develop as a teacher and an English speaker. It has improved my academic performance by teaching me rhythm, health, and routine. It also reminds me that a passion does not have to produce money in order for it to hold immense value. Ceramics, for instance, challenges me to experiment with the messy and unexpected. While painting reminds me to be adventurous and patient with my forms of self-expression. I don’t know yet what I will live off of from day to day as I mature; however, the skills my passions have provided me are life-long and irreplaceable."
The Fund for Education Abroad is committed to diversifying education abroad by providing funding to students who are typically under-represented in study abroad. Please describe how you and/or your plans for study abroad could be viewed as under-represented.,"“Oh well look at that one,” my uncle leans over and says about my brother-in-law in the living room wearing a dress. “I’d always had my suspicions about him,” he jokes with a disapproving sneer and leans back in his chair, a plate of Southern-style Christmas dinner in his hand. I was hurt. Why would my own uncle say that like it’s such a terrible thing that my brother-in-law is wearing a dress? That it was the worst thing in the world if my brother-in-law were gay or effeminite. “I think he looks beautiful,” my oldest brother Ethan chimes in. At that moment, I wish I could have hugged Ethan. No, not because he was defending my brother-in-law (who actually isn’t gay, as my uncle was suggesting), but because Ethan was defending me. My uncle has no idea that I recognized earlier this past year that heterosexuality wasn’t meeting all of my needs for intimacy with other people and that I’ve come to define myself as queer. It all started when I took a hard look at how my upbringing in Miami had taught me that the only way that boys are supposed to connect with others is by having sex with “beautiful” girls – that intimacy with other guys or “ugly” girls isn’t as meaningful. After freeing up that block in my brain that told me that I shouldn’t look at guys in a certain way, I could embraced the fact that I’m attracted to men (and people in general) in a lot of different, new ways. My growth as a person was exponential. I rewrote so many areas of my life where I didn’t do things I wanted because of social conditioning. Within two months, my world expanded to include polyamory. I looked back on my past relationship with my girlfriend and realized that I wasn’t jealous (angry, yes. hurt, yes. But not jealous) when she cheated on me. I realized that people’s needs — whether they are for sex, someone to talk to, someone to engage intellectually — don’t necessarily all have to be met with one person. It can be easier sometimes with one person, absolutely. But that’s not the only way. As someone who is both polyamorus and queer, I feel like parts of my family and large parts of my community marginalize me for being different because society has told them to. I want to change that. Since I will be studying for an entire year in Prague, I will have the opportunity to attend the annual Mezipatra, an international film festival in November that screens around a hundred top-ranking films on lesbian, bisexual, transsexual and queer themes. I feel really connected to going to this event because I crave being in an environment of like-minded people who strive to do that same thing I want to: balance the images of people typically portrayed through cliché and stereotype. When I came out to my sister-in-law, she told me that people who are really set in their ways are more likely to be tolerant to different kinds of people after having relationships with these people. If my uncle can learn to love me, to learn to love one queer/poly person, he can learn to love them all. If I can be an example to my family, I can be an example to my classmates. If I can get the opportunity to travel abroad, I can be an example to the world. Not just through my relationships, but through my art. Give me a camera and a screen and I will carry the message of tolerance from the audiences of Mezipatra in Prague to my parent’s living room. Fade in: Two men with thick beards kiss – maybe for once they aren’t wearing colorful flamboyant clothing. Fade in: A woman leaves her house to go to her male best friend’s house and her husband honestly tells her to enjoy herself. Fade in: A college student wanting to study abroad tells his conservative parents the truth…"
"Some students have a background, identity, interest, or talent that is so meaningful they believe their application would be incomplete without it. If this sounds like you, then please share your story.","Recall the most cherished memory with your father figure. For some it may be when he taught you how to ride a bike, for others it may be memories of him taking you out for pizza when mom said the family has to eat healthy, for others it’s the ability to confide in somebody that won’t judge or stop loving you because of the mistakes you have made. When a child is born, he or she is given a birth certificate, which provides information such as name, date and place of birth, but most importantly it provides the names of the parents of the child. On my birth certificate I have the name the name of my beloved mother Lurvin, but right above her name is an empty space where my father’s name should be. As a child I would often compare my life to my peers; I would often go through all of these hypothetical scenarios in my mind thinking, “If my dad were around I could be like all of the other boys.” As the years went by I always had a sense of optimism that one day I would meet him and he would tell me “I love you and I’ll never leave your side again.” But when the time came and I met him on January 2014 I learned that a man can reject his only son not once, but twice. My father left when I was one year old and I will soon be turning 17; I did the math and found that for about 5900 days he has neglected me. He was able to sleep 5900 nights without knowing whether or not I was dead or alive. Even though he’s been gone for 5900 days, my life did not get put on hold. In those 5900 days I learned how to walk, talk, and I became a strong young man without the provider of my Y Chromosome because he is nothing more to me than that. In the past I believed that my father was necessary to rise but instead I found that false hope was an unnecessary accessory and now I refuse to let the fact that I am fatherless define the limits of the great things that I can accomplish. It’s said that boys learn to be a man from their fathers, that they learn what it means to be a man that has values and can stand up for what’s right. I, however, have found that grit can come from anywhere. When I was in middle school I was overweight and many other boys would call me names, and even after going to administration several times nothing changed and for several years I kept myself at bay because if I had done anything in return I would be no better than those guys who bullied me. I previously had this perception that somebody else would come to my rescue, that somebody else would provide the mental strength to combat the hardships that were sent my way. But as time passed I grew tired of waiting for help that was never going to come so I had to become my own hero. Since making that decision I have been liberated from the labels that previously confined me and I took back control of my own life. My ability to be self motivated has assisted me in becoming a leader in several of my extracurricular activities. I was one of the 4 male students of my school district that was selected as a delegate by the American Legion to participate at the Boy’s State program and I am also the captain of my group in the Young Senator's Leadership Program that is run by California Senator Tony Mendoza. I also developed skills on the wrestling mat. On one occasion I wrestled the person who was ranked the 9th best wrestler in the state and although I did not win there was not a single second that I was afraid to fail because I knew I gave it my all. Similarly I have put the same effort into becoming a successful. My father’s name is not on my birth certificate, but it is MY birth certificate. My origins are not the brightest but I was given a life that is mine to live and because “Life is made of two dates and a dash..” I have to “...Make most of the dash.” I am not going to live forever but if I were to leave this world today I would feel content with the person I see in the mirror. I know the difficulty that latinos face in this day and age I can envision assisting other young latinos achieving their dreams. I believe the most valuable thing in this world is opportunity because sometimes all it takes for someone to be successful is a chance to do so. Consequently I would like to be part of that chance that can foster the growth of future success."
Please explain a personal hardship or catastrophic life event that you have experienced. How did you manage to overcome this obstacle? What did you learn and how did you grow from it? This answer is critical to your application as Change a Life Foundation’s vision is to assist individuals who have persevered and overcome a hardship/catastrophic life event.,"Filling out this application, and my college applications, has forced me to face head on the realities that I've grown up in. Looking back and describing my life I see all the ways in which I am disadvantaged due to my socioeconomic status. But I think it's important to note that I wasn't fully aware of any of it growing up. I knew that my parents couldn't buy me everything, but I also knew that they hardly ever said no. I was a very normal child, asking for chicken nuggets and looking at mom and dad any time I was scared or unsure of something. As I've grown I've learned to fight my own monsters but I now also battle the ones that frighten my parents, the monsters of a world that they weren't born into. Monsters of doubt and disadvantage that try to keep them stuck in a cycle of poverty; thriving in a world that casts them to the side and a society that, with its current political climate, doesn't welcome them with the warmest hello. The baby sitter, the house keeper, the driver, it's taken my dad 10+ years of night shifts to attain financial stability, and become an asset to his workplace. He's been one of the millions of people who has been laid off in the last couple of decades and has had to start over multiple times. But each time he's re-built himself with more resilience. I've grown up living in section 8 housing because my parents often found themselves living paycheck to paycheck, not by choice, but by circumstance. They've endured bankruptcy over credit card debt, have never owned a home, or been given access to resources that allow them to save. Every time we've readapted, we get struck by a new change. I currently live in Manchester Square, a ghost town, byproduct of the Los Angeles Airport expansion project. The 16 steps I have always known, soon to be demolished. My neighbors are empty lots, enclosed by fences. Homeless people’s pitch tents, under the roar of airplanes. My home is soon to become an accommodation to an airport, soon to be nonexistent. Knowing that my family has to relocate as I'm applying to college makes me feel a tad guilty, because of my lack of resources, I fear it will become a barrier into my transition to college. My parents finances are not a secret, I know their struggles as I hear about them day after day. My parents now deal with the burden of relocating, no longer having subsidized housing and again, struck by yet another need to readjust and reassemble. Relocating a family of 5 in an area plagued by gentrification of stadiums and demolition is no simple task as rent prices are as high as mortgages. It's odd they don't want me to stress or have it become my problem but I know it is, and I want to do whatever I can to help. My older sister is the first in my family to go to college. I was always the shyer one. She's taught me through her efforts that the only limits you have are the ones you place on yourself. With my sister's example I have followed in the footsteps of never letting money become a reason why I can't or won't do something. If my sister can do it, I can do it. I see the leadership characteristic is genetic and it runs in my entire family. I witness my parents be leaders everyday as they tackle cultural obstacles in a country that wasn't the one they were born into, speaking a language that is not their own, and raising children to succeed in a system of higher education; one they never had the privilege to be part of. My family and I are one. We stack our efforts, and obstacles on top of each other to further our successes as a whole. When I think back to my family's story I'm amazed to think that my grandpa came to the US in the midst of WW2, a bracero, leaving his family to help feed millions of Americans in time of war. My grandpa, a man of the fields, paved the way so I could defy the odds with my prosperity. At home, the teacher role often switches within my family. I am responsible for translating documents to my parents and explaining procedures and concepts as I, myself, am learning them. I have had the responsibility of helping assist my younger sister who has a mild case of Cerebral Palsy. Due to her pre-existing condition, she is a slow learner. I have dedicated a lot of time this past year, helping her with her transition from elementary to middle school and helping her adapt to such a drastic change. Sometimes, I only sleep 4 hours as I wake up and rush out the door in order to make it on time to 6am tutoring. Having to manage my schoolwork and home responsibilities has been difficult but I've managed to maintain high academic achievement by managing my time correctly and being persistent. If I truly want something, I need to go after it, and I will get it done. Sometimes being tired isn't an option."
"“Education is the most powerful weapon which you can use to change the world.” - Nelson Mandela. Describe a change you would like to make in the world. Tell us about how you would plan to make that change, and what obstacles you might encounter along the way. *","Nothing is more important to me than ending racial inequality and discrimination in America, as I do not want my younger siblings to face the discrimination Black people continue to face in our present society. After winning our fight to freedom and provoking the passage of the 1964 Civil Rights Act, why do Black teens face higher poverty rates than Whites and are still four times more likely to be incarcerated? “That was such a long time ago. You really need to get over it,” my White peers say when referring to racial inequalities. But, why then, in 7th grade, after winning Nazareth Academy’s Spelling Bee competition, did my fellow White classmate state with a heavy dose of surprise, “You know…when I first saw you, I didn’t think you were going to be smart?” I hope to contribute to ending racial discrimination by utilizing our present interconnectivity and running a social media campaign titled #It’sNotOver. #It’sNotOver aims to oppose the widespread misconception that, because racial inequality was legally outlawed, de facto racial inequality does not still persist in our society. Our recent presidential election may have brought life to a ‘Divided America,’ but it also exposed how influential social media is. By raising awareness of racial disparities that occur everywhere, I might encourage a new wave of change in our country like that of the present Time’s Up movement. Furthermore, if I can access the influence of celebrities in my #It’sNotOver campaign, like that of Time’s Up, I might similarly capture the attention of millions of people and inspire action against this issue across the globe. I know that social media can only do so much in addressing these issues as not everyone can afford the luxury of having internet access. However, I hope that my campaign can inspire all those who do have access to take it upon themselves to be the change by being inspired by the fact that we are globally united in this issue. Although I expect negativity and criticism from people who either do not believe that this issue exists or do not believe in our cause, I am willing to encounter it if it means our society as a whole irrevocably can grow to accept each other’s differences."
“It is very important to know who you are. To make decisions. To show who you are.” – Malala Yousafzai. Tell us three things that are important to you. How did you arrive at this list? Will these things be important to you in ten years? Why? *,"The three things that are important to me are my family, being successful, and leaving a legacy. As a result of my past, I keep these three crucial things at the forefront of my mind every day to help myself be successful. Above all, my family is the most important thing in my life. The meaning of family may differ for everyone, but for me, my family is life. I almost died in the 2010 Haitian earthquake, as Jacmel was one of the worst damaged areas, had it not been for my grandmother and my mom. Later, if it was not for my uncle, my mom would not have been able to come to America to give me a better life. Without my family, I wouldn’t be here. I am forever indebted to their sacrifices, and I am so grateful that I have their eternal love and support. Success is also very important to me. I hope to accomplish many things in my life, but most importantly, I would like to make my family proud so that they know that all of their sacrifices were worth it. Success to me is having a career that I love and allows me to help my family members financially. I hope to no longer experience hardships such as homelessness, poverty, and economic difficulties, as I had in my young life. Ultimately, however, I would like to grow into someone who is loved and remembered by people who aren’t my immediate family members and my friends. I do not wish to be glorified, but I want to be more than a nonentity in this big, vast world. I hope that if I can inspire the change that I want to make, I can leave a legacy that continues to influence and shape the landscape that follows me. After coming to the epiphany that if I died today, nothing would change except for the lives of those extremely close to me, I find myself unwilling to be just another Jane Doe. I want to leave a part of myself behind, whether it is a building or a popular hashtag, that is meaningful and permanent once I die."
“Preservation of one's own culture does not require contempt or disrespect for other cultures.” - Cesar Chavez. What does it mean to you to be part of a minority community? What challenges has it brought and how have you overcome them? What are the benefits? *,"Being part of a minority is very conflicting for me as I feel both empowered as a part of a Haitian minority community but also disconnected from my non-immigrant peers. Coming from a background of poverty in Haiti, I knew that, even at a very young age, I had to be a good student in order to succeed. This work ethic--found throughout my Haitian community--has been very beneficial in my life as we all came here to pave ourselves a better future. As my mom held two jobs, went to college, and was temporarily homeless just to secure me a better future, I feel invigorated to be part of such an indefatigable community. And, it is because of this strong work ethic, central to my community’s core values, that I am now the salutatorian of a class of 679 students. As I was so young when I came to the US, I didn’t know how American society functioned, specifically elementary school. I was the only immigrant in a class of forty, barely spoke English, and had no friends because of these limitations. Every day of those first few years, I felt an almost physical divide between my peers and myself. I never experienced a sense of belonging, despite my efforts. Already a double minority as a woman and a Black person, I tried to relinquish my language and culture in favor of American language and values to better fit in the crowd. By doing this, however, I almost completely lost my cultural identity as both a Haitian and an immigrant, and also my language. It was in the halls of my first high school, International Studies Charter High School, that I realized the enormity of what I had lost. Where my peers retained their cultural identities and language, I had almost lost mine. It was there, I learned to embrace a part of me that was virtually buried inside, as I was encouraged to be more open: speaking Creole with my Haitian math teacher and peers. As a senior, I now volunteer weekly helping Haitian ESOL students with their homework. I am both a teacher and a student in that small classroom as I help them with their homework, and, in return, they help me in perfecting my use of Creole. They are my daily reminder of what unites us as Haitians—our ability to triumph in the face of adversity."
"“The secret of our success is that we never, never give up.” - Wilma Mankiller. Tell us about a time when you failed at something. What were the circumstances? How did you respond to failure? What lessons did you learn? *","I’ve danced ballet since I was seven-years-old. But, even after almost eight years, I could still barely extend my legs as high as my peers nor could do as many pirouettes as them. My flexibility was incredibly subpar and I easily wore out my Pointe shoes, making them unwearable after a couple of months. Where the average lifespans of my peers’ pointe shoes extended into months, mine could barely last ten classes. I was the weakling of my class at Ballet Etudes, and I was too absorbed in my insecurities to do anything to better myself to become the dancer I aspired to be. After a humiliating recital, wherein my pointe shoe ribbons untied in the middle of our group performance, I all but gave up on dance. I was in the middle of doing a Changement de Pieds (Change of feet jumping step) when I glanced down in horror to see my beautiful ribbons untied as I forgot to tape them with clear tape as I usually did before my performances. Glancing to my right, I saw that my ballet teacher backstage had also taken note and was rushing me to get off the stage, her hands beckoning me in a frantic manner. After berating me for not having properly tied my laces, I was not allowed to finish my part. Later, I could barely get back on stage that evening for our final performance as I didn’t want to fail myself and my team again. But, because of my move to Port Saint Lucie in the summer before sophomore year, I was able to rekindle my passion for ballet and pointe at South Florida Dance Company. South Florida Dance Company was my saving grace, a place where I was able to restart my experiences in dance and renew the joy I once felt in my art. It was an incredible feeling regaining my confidence and surety in my abilities, as a result of the additional help that I received from my dance teacher, Ms. Amanda. Presently, I always remind myself to be the best that I can be and to positively use my dance role models, like Misty Copeland, as encouragement to be a better dancer. From this experience, I learned that to overcome personal failures, I needed to move forward and think positively because change doesn’t happen when you sit still."
Please explain how your experience volunteering and participating in community service has shaped your perspective on humanity. Elaborate on how these experiences have influenced your future ambitions and career choice.,"I didn’t really understand my community until I was forced to see it from the outside; sort of like when you see a picture of yourself someone else took that you weren’t aware of. It took a 3,000 mile flight for me to gain a different perspective of the world, of my world. When I landed in Maine it was nothing like the place I called home. There was no traffic, there were lots of trees, and absolutely no spanish to be heard anywhere. I missed my people, my home, and my community the most as I saw the ways in which other communities fostered creativity, advocacy, and community involvement. I talked about my community every chance I got, writing a public backlash to Donald Trump and reading out to the group of parents to show them my unique struggle. The election of Donald Trump has forced me to come to terms with the harsh realities of this world. The lack of respect he has for women, minority groups, and factual evidence are alarming. This presidency makes me want to prove wrong all of his perceptions of people like me, the poor, the immigrant, the woman. I left people in awe, leaving me empowered. I had people come up to me and explain that they can relate to my poem about not fitting in, being Mexican American and not feeling like you can consider yourself American or Mexican because you’re both. I emphasized that I, like many others, am in between and we have the same platform that anyone else does to succeed. I explained that many of us, hold this pressure of first generation children of immigrants to prove that we are the proof that our parents sacrifices of restarting in a new country was worth it. I was the visible representation of a first generation child of immigrants, branching out into a new environment despite where I had come from and shocking everyone with my prosperity. If I was the only visible representation available, I was going to use my voice to echo the feelings of my entire community and make it known that we are all here-- all of our struggles, our efforts, and our passions, are not absent from places where we are not seen. Maine helped me branch out in my own community now as a Student Ambassador. From this experience, I’ve learned that I can represent my high school and have the responsibility to assist staff at events for prospective students and organize presentations for parents. I spend a lot of time interpreting for parents at meetings and explaining the current events that are ongoing and new educational opportunities that students should take advantage of. I have had the privilege to work alongside office staff and the Principal, where I get to positively dedicate my time to parents who have general questions regarding the schools upcoming events. By dedicating my time as a Student Ambassador, I have allowed myself to excel at communicating with others and improving my customer service skills. I want my education to change the negative stigmas surrounding my community, by showing that it's possible to expand your access to the world and allow you to leave, by choice, through receiving a post-secondary education. I am someone who has grown up in an area with limited resources fostering limited mindsets. My neighborhood has 4 elementary schools, 2 high schools, and a strip club feet away from a library. What message does that send to children? It's normal in my community to have pregnant classmates in high school. People aren't aware of the world outside, they aren't encouraged to ever leave. Through my experience as a volunteer that communicates a lot with parents, I have learned that the American Dream does not simply belong to first generation students like myself. I have found that our accomplishments are stacked upon the sacrifices of our parents. I used to think that growing up was like the passing of a baton where you’re the next runner and it’s your turn to run your best race, but I now see that this is a team effort, as you expand your horizons your family also gets to experience the benefits. I want to demonstrate to my community that there can be a female, bilingual, Latina doctor. I want to showcase that one's zip code, doesn't determines one's success. One of the most common questions I get at these parent meetings is “what’s better college or university”? This question didn’t make sense to me at first then I realized that parents wanted to know the difference between community college and a four year. Concepts like financial aid, grants, loans, are all foreign concepts as most of our parents never went to college. They want to be able to help but do not know where to begin. As a student ambassador I helped bridge that gap. We often held meetings where we explained to parents within our community what resources were out there and available and what the difference were among the different options for each student. Being the student face for Animo, I’ve learned that I as a student and daughter, can provide assistance to my own community through the knowledge that I have gained. I am the communication that is needed in my community that’s necessary for further successes by using my personal knowledge and experience to help uplift and educate others in similar situations."
